species_name,lon,lat,year,month,source
example_species,118.1511,27.5053,2021,11,field_survey
example_species,114.1755,30.7411,2022,7,field_survey
example_species,116.3678,27.8893,2020,4,field_survey
example_species,122.6716,20.021,2021,8,field_survey
example_species,110.0708,25.9205,2023,3,field_survey
example_species,111.8235,27.3825,2021,12,field_survey
example_species,120.0612,26.0432,2020,8,field_survey
example_species,122.3878,25.3145,2021,12,field_survey
example_species,112.0506,27.5092,2023,9,field_survey
example_species,118.6264,26.6776,2022,6,field_survey
example_species,123.3698,21.3565,2023,2,field_survey
example_species,113.138,24.1034,2022,12,field_survey
example_species,112.7799,34.1522,2022,11,field_survey
example_species,111.6257,20.3982,2020,12,field_survey
example_species,113.2955,20.6,2023,10,field_survey
example_species,124.6794,24.2471,2021,7,field_survey
example_species,122.1752,28.7352,2023,1,field_survey
example_species,112.5791,34.8634,2021,10,field_survey
example_species,122.2434,34.8896,2020,12,field_survey
example_species,114.1111,34.8968,2021,10,field_survey
example_species,116.4756,21.6507,2021,3,field_survey
example_species,124.1004,29.9672,2020,6,field_survey
example_species,122.2647,27.8598,2023,3,field_survey
example_species,115.0417,22.5972,2020,11,field_survey
example_species,112.6312,34.1444,2022,8,field_survey
example_species,115.5925,23.6279,2021,2,field_survey
example_species,110.0853,34.984,2020,11,field_survey
example_species,113.7864,28.7404,2023,2,field_survey
example_species,121.9349,22.7492,2023,8,field_survey
example_species,110.2288,25.8027,2021,9,field_survey
example_species,118.9827,22.8451,2020,2,field_survey
example_species,119.0571,26.1616,2021,9,field_survey
example_species,111.5772,28.9202,2021,3,field_survey
example_species,115.7292,30.7488,2021,10,field_survey
example_species,110.5471,27.3034,2020,10,field_survey
example_species,123.3562,24.6438,2023,11,field_survey
example_species,124.7138,28.6616,2021,3,field_survey
example_species,110.8991,26.6256,2020,1,field_survey
example_species,123.3582,25.3952,2022,4,field_survey
example_species,118.6535,24.82,2021,12,field_survey
example_species,121.1372,23.1231,2022,8,field_survey
example_species,119.4528,26.7689,2021,11,field_survey
example_species,118.7276,27.3776,2023,5,field_survey
example_species,110.3066,33.4861,2022,8,field_survey
example_species,113.1504,30.9404,2020,3,field_survey
example_species,118.1703,31.5513,2022,1,field_survey
example_species,121.5367,25.6316,2022,2,field_survey
example_species,113.7604,25.1561,2023,4,field_survey
example_species,114.2884,29.8255,2020,5,field_survey
example_species,122.7859,30.6656,2023,11,field_survey
example_species,124.6251,21.7031,2023,10,field_survey
example_species,123.2728,21.9954,2023,7,field_survey
example_species,115.3926,26.8406,2023,6,field_survey
example_species,118.9829,22.396,2022,5,field_survey
example_species,115.3219,34.4246,2020,1,field_survey
example_species,115.1029,32.5642,2021,6,field_survey
example_species,112.6712,27.8024,2022,10,field_survey
example_species,113.5654,23.2741,2022,12,field_survey
example_species,110.6729,22.0238,2022,6,field_survey
example_species,117.5815,34.6861,2022,4,field_survey
example_species,115.6438,30.6057,2023,1,field_survey
example_species,118.8921,32.8996,2021,1,field_survey
example_species,119.4491,25.8076,2022,9,field_survey
example_species,112.139,23.7625,2020,7,field_survey
example_species,124.0076,24.4916,2021,9,field_survey
example_species,124.1957,32.8534,2022,9,field_survey
example_species,119.0344,27.0948,2020,7,field_survey
example_species,115.8165,29.9492,2023,7,field_survey
example_species,115.4478,32.0859,2022,2,field_survey
example_species,113.0652,23.7947,2021,2,field_survey
example_species,114.1515,21.1936,2023,12,field_survey
example_species,113.698,30.9914,2021,8,field_survey
example_species,112.6041,34.421,2020,12,field_survey
example_species,124.4991,34.3071,2022,9,field_survey
example_species,124.3552,27.3575,2023,6,field_survey
example_species,118.9696,29.4829,2022,1,field_survey
example_species,120.9695,30.9949,2023,9,field_survey
example_species,115.1058,33.5361,2020,12,field_survey
example_species,111.3808,22.4337,2023,2,field_survey
example_species,116.9525,26.0882,2022,11,field_survey
example_species,117.6305,26.2564,2021,6,field_survey
example_species,111.3269,30.4339,2022,2,field_survey
example_species,117.9205,26.3727,2023,8,field_survey
example_species,124.8824,32.8717,2023,2,field_survey
example_species,115.9255,32.704,2020,3,field_survey
example_species,115.0339,21.053,2022,7,field_survey
example_species,122.0818,24.5263,2022,6,field_survey
example_species,121.3152,34.6944,2020,8,field_survey
example_species,114.696,20.5344,2020,5,field_survey
example_species,119.5106,27.3859,2021,8,field_survey
example_species,118.1061,34.2857,2021,3,field_survey
example_species,114.4519,32.1586,2022,4,field_survey
example_species,111.6618,24.415,2023,7,field_survey
example_species,114.6896,28.9435,2022,3,field_survey
example_species,116.8547,26.4677,2022,3,field_survey
example_species,119.8841,28.886,2022,5,field_survey
example_species,113.8139,33.4063,2020,4,field_survey
example_species,119.6165,28.3103,2022,12,field_survey
example_species,113.0019,27.393,2020,6,field_survey
example_species,119.8644,24.7891,2021,12,field_survey
example_species,121.6743,23.9505,2021,10,field_survey
example_species,121.694,28.1342,2023,2,field_survey
example_species,119.1549,21.234,2021,12,field_survey
example_species,114.635,29.5346,2020,6,field_survey
example_species,120.466,31.9461,2020,2,field_survey
example_species,122.8943,34.3212,2022,4,field_survey
example_species,119.3799,30.2694,2021,11,field_survey
example_species,124.7361,27.3244,2023,8,field_survey
example_species,124.6475,27.2812,2021,4,field_survey
example_species,112.5004,34.5004,2021,6,field_survey
example_species,110.3477,23.1702,2021,6,field_survey
example_species,112.4112,26.1747,2022,1,field_survey
example_species,123.8525,34.845,2020,10,field_survey
example_species,124.3032,20.4262,2020,5,field_survey
example_species,113.1647,30.5199,2021,8,field_survey
example_species,115.4079,20.3776,2020,3,field_survey
example_species,118.2406,24.8132,2020,4,field_survey
example_species,114.0775,21.1029,2023,2,field_survey
example_species,116.909,20.9133,2022,6,field_survey
example_species,120.4424,21.6711,2023,10,field_survey
